@RELATION interaction
 
@ATTRIBUTE C0 NUMERIC
@ATTRIBUTE C1 NUMERIC
@ATTRIBUTE C2 NUMERIC
@ATTRIBUTE C3 NUMERIC
@ATTRIBUTE TP {C0, C1, C2, C3}


@DATA
6.1,25.54,3.58,2.35,C1
7.25,0.0,0.0,11.8,C3
3.25,0.0,1.36,6.32,C0
6.55,2.88,2.44,4.11,C0
2.51,0.0,0.0,39.29,C0
6.6,76.98,7.42,19.6,C0
3.26,0.0,0.53,2.08,C2
5.53,48.98,0.99,40.35,C1
2.74,12.18,1.95,2.48,C1
7.87,0.0,3.26,9.73,C1
2.5,3.61,3.33,2.22,C2
3.91,37.97,1.7,4.78,C2
16.6,0.0,2.79,9.66,C2
5.01,0.0,0.0,30.65,C3
8.9,0.0,0.89,4.43,C0
3.45,0.0,3.26,7.22,C2
8.82,0.0,0.9,12.57,C2
2.67,0.0,5.73,2.42,C2
23.86,0.0,1.86,2.5,C0
16.83,0.0,0.0,42.78,C0
11.37,0.0,0.17,12.02,C1
1.33,0.0,0.0,8.86,C2
23.01,4.14,3.65,39.73,C1
1.01,0.0,0.0,14.67,C0
2.36,0.0,0.0,25.66,C0
19.19,0.0,0.0,17.41,C0
6.82,0.0,0.0,2.14,C0
5.49,0.0,0.0,23.1,C0
1.14,6.76,2.29,6.62,C1
16.27,0.0,0.0,13.77,C2
1.31,22.88,0.91,7.28,C1
3.73,0.0,0.0,11.77,C0
3.4,16.06,2.87,7.18,C1
2.77,52.37,1.94,2.5,C1
12.25,0.0,0.0,36.28,C0
2.6,0.0,0.94,9.84,C2
3.37,0.0,0.0,10.65,C2
0.0,0.0,0.0,21.54,C3
2.79,0.0,0.0,17.35,C3
8.2,19.23,5.41,4.94,C1
4.01,0.0,3.74,2.44,C2
2.53,0.0,1.69,8.53,C1
12.06,0.0,0.0,13.54,C0
0.0,0.0,0.0,20.02,C3
3.78,0.0,0.0,4.66,C2
0.0,0.0,0.0,19.58,C3
10.75,0.0,15.55,7.44,C2
15.18,27.76,5.79,19.89,C0
2.71,6.59,3.45,4.81,C1
0.0,0.0,0.0,5.28,C3
3.97,27.4,5.54,2.43,C1
1.31,90.18,8.48,2.51,C0
1.31,7.38,0.93,17.18,C1
1.31,15.07,1.8,4.82,C1
2.71,27.27,2.88,2.43,C1
6.95,0.0,0.98,40.51,C0
1.12,79.46,12.6,4.29,C2
17.86,11.94,6.56,4.54,C1
2.49,0.0,0.0,27.1,C3
3.55,0.0,2.97,6.58,C2
0.71,0.0,0.0,14.92,C3
6.44,0.0,0.0,9.18,C2
5.26,0.0,1.33,11.07,C2
0.0,0.0,0.0,25.0,C3
4.86,0.0,1.66,10.91,C2
6.43,10.03,5.5,38.53,C1
1.98,0.0,0.7,23.64,C3
2.56,0.0,2.53,6.75,C2
5.77,0.0,0.79,20.33,C0
15.0,0.0,5.69,12.59,C2
6.43,0.0,0.0,9.72,C0
17.99,0.0,2.88,17.58,C3
0.0,0.0,0.0,20.5,C3
4.26,0.0,0.0,2.03,C3
6.6,0.0,4.53,9.46,C0
1.21,0.0,0.0,23.81,C0
6.83,0.0,0.0,4.91,C0
6.51,0.0,5.59,4.59,C0
1.0,3.29,1.1,8.0,C1
20.58,0.0,0.0,14.98,C0
3.65,28.7,1.66,16.0,C1
8.32,0.0,0.0,16.49,C3
2.76,0.0,0.0,12.44,C0
1.21,34.6,0.85,8.3,C1
6.82,0.0,0.75,27.46,C0
4.13,0.0,0.0,37.12,C2
4.11,24.11,2.88,5.01,C1
1.26,3.81,1.85,31.12,C2
11.96,0.0,0.84,2.24,C2
4.97,28.93,6.25,6.44,C0
5.53,0.0,0.0,10.04,C3
2.66,11.63,4.73,2.39,C1
24.47,39.99,2.81,4.96,C2
0.0,0.0,0.0,14.14,C0
0.0,0.0,0.0,16.09,C3
3.45,34.65,2.32,5.88,C2
4.09,0.0,0.0,2.51,C2
2.46,6.44,4.0,4.55,C1
19.19,0.0,0.0,2.52,C0
3.29,0.0,0.0,12.21,C0
1.97,11.41,3.83,15.52,C0
2.8,0.0,8.63,2.53,C2
12.39,0.0,0.0,4.58,C0
4.03,53.84,2.83,7.42,C1
0.0,0.0,0.0,26.69,C0
1.3,45.07,5.05,7.05,C2
2.66,25.96,4.61,2.42,C1
9.31,0.0,0.0,4.69,C0
10.94,22.74,1.9,4.97,C1
0.0,0.0,0.0,48.18,C3
10.17,83.78,21.03,4.84,C0
2.3,0.0,0.0,25.53,C3
5.32,0.0,1.7,3.84,C2
1.35,0.0,1.71,7.28,C1
22.35,0.0,2.79,15.59,C2
19.01,44.1,40.03,4.82,C1
9.51,16.11,2.86,2.42,C1
3.62,15.72,3.51,2.39,C2
3.91,0.0,4.43,2.46,C2
5.47,0.0,0.0,9.87,C0
1.31,41.2,13.27,4.87,C2
1.35,0.0,0.0,14.58,C0
0.0,0.0,0.0,20.22,C0
3.97,0.0,0.93,24.59,C2
1.34,0.0,0.93,2.44,C2
0.5,0.0,0.0,5.9,C3
2.69,0.0,0.0,17.39,C0
18.0,0.0,0.0,17.46,C3
4.81,0.0,0.46,19.31,C2
7.93,0.0,0.0,2.42,C2
6.18,20.36,2.72,13.95,C1
1.29,67.58,13.41,4.73,C1
0.87,0.0,2.48,4.45,C2
4.52,0.0,0.0,26.97,C0
5.18,6.6,1.7,3.22,C1
6.9,2.07,4.14,7.0,C1
13.88,0.0,7.46,3.97,C2
0.01,0.0,0.0,1.16,C2
4.11,10.3,1.9,26.72,C1
4.58,0.0,0.0,10.47,C0
4.13,15.72,6.64,4.98,C1
0.0,0.0,0.0,22.34,C0
7.33,0.0,0.0,6.37,C0
1.27,0.0,0.0,18.51,C3
7.98,0.0,0.0,26.0,C3
4.86,22.49,2.33,8.51,C2
2.42,3.45,4.42,2.34,C2
3.82,18.74,7.32,2.4,C1
5.41,0.0,5.49,2.43,C2
1.37,0.0,1.89,2.36,C2
3.02,0.0,0.0,29.61,C0
4.08,3.93,4.76,4.95,C1
5.3,49.34,2.5,4.33,C1
1.34,0.0,0.0,15.27,C2
9.25,0.0,0.0,14.68,C0
3.79,0.0,0.0,9.22,C0
5.38,58.36,10.01,15.03,C1
0.0,0.0,0.0,2.26,C0
0.0,0.0,0.0,19.76,C3
3.62,12.28,2.91,2.21,C2
3.91,0.0,0.0,56.03,C3
5.28,66.35,10.14,4.85,C2
2.47,0.0,0.0,2.41,C2
1.39,0.0,0.95,2.51,C2
1.36,7.48,0.96,4.94,C1
5.36,0.0,2.74,2.52,C0
6.55,0.0,0.86,2.48,C0
5.61,12.38,5.89,4.99,C1
2.26,0.0,0.76,9.41,C2
2.37,15.51,2.63,10.89,C1
2.08,3.84,3.9,3.95,C1
10.73,0.0,0.96,2.5,C0
2.68,3.3,0.9,14.69,C1
2.76,0.0,0.0,2.48,C0
0.0,0.0,0.0,2.43,C0
2.03,46.89,8.55,4.25,C0
3.78,0.0,0.88,34.47,C2
3.81,18.63,3.53,37.82,C1
2.68,0.0,0.79,24.45,C2
6.8,0.0,9.51,2.5,C0
4.96,0.0,0.87,4.56,C2
1.32,0.0,0.94,7.3,C2
6.97,0.0,6.26,35.15,C0
2.36,17.24,1.7,4.48,C2
10.26,0.0,1.85,11.78,C1
10.62,3.56,19.01,2.5,C1
2.73,11.15,7.88,2.41,C2
1.2,3.3,4.87,8.63,C1
3.92,11.87,2.83,1.97,C1
5.36,23.84,2.87,2.51,C1
7.79,0.0,0.96,4.96,C0
3.8,22.51,3.66,4.46,C1
4.06,60.62,6.49,4.86,C2
1.35,3.98,1.91,2.5,C1
5.24,29.41,2.59,2.42,C1
2.56,25.92,0.86,2.43,C1
2.56,11.07,2.65,2.43,C1
5.35,0.0,1.83,2.49,C0
5.49,0.0,2.87,2.51,C2
2.62,66.28,2.77,2.45,C2
2.11,0.0,0.0,24.05,C0
1.08,0.97,3.42,8.54,C1
5.36,11.09,4.57,2.26,C2
5.24,0.0,0.9,2.42,C2
3.77,0.0,0.0,4.63,C2
9.75,0.0,0.0,2.56,C0
2.71,8.15,1.88,2.49,C1
0.0,0.0,0.0,25.16,C3
5.55,0.0,0.96,12.6,C0
1.25,13.86,6.73,2.09,C1
1.38,90.73,34.85,4.96,C2
1.0,0.0,0.0,23.09,C3
4.7,0.0,0.0,13.24,C3
4.61,3.64,5.11,2.28,C2
4.31,5.42,3.93,5.79,C1
4.26,0.0,4.46,9.46,C2
2.71,0.0,1.82,2.46,C2
19.46,0.0,0.0,37.15,C3
12.96,0.0,0.0,9.13,C0
2.27,21.73,2.58,2.37,C1
14.84,0.0,6.16,9.29,C0
0.0,0.0,0.0,4.51,C0
6.7,0.0,0.0,8.45,C3
8.17,0.0,6.62,4.82,C0
2.69,91.79,13.33,4.98,C2
2.68,8.21,1.94,2.49,C1
2.73,36.68,3.75,2.43,C1
7.88,0.0,0.0,43.94,C0
